date,Price,Volume,original price
31/12/2020,2.369586891,5002663,234.2
30/12/2020,2.364569755,6017643,231.51
29/12/2020,2.363668378,8316075,231.03
28/12/2020,2.372414856,6952379,235.73
24/12/2020,2.37774324,3053752,238.64
23/12/2020,2.379196704,6421336,239.44
22/12/2020,2.38648113,6340935,243.49
21/12/2020,2.376065722,8156045,237.72
18/12/2020,2.373739318,11534717,236.45
17/12/2020,2.372009352,8914060,235.51
16/12/2020,2.362105319,10110033,230.2
15/12/2020,2.345569756,6508117,221.6
14/12/2020,2.343979399,9759424,220.79
11/12/2020,2.330535521,4283354,214.06
10/12/2020,2.333124709,6556822,215.34
9/12/2020,2.323870607,7807532,210.8
8/12/2020,2.336339636,5419592,216.94
7/12/2020,2.338317019,5363365,217.93
4/12/2020,2.337998051,6214640,217.77
3/12/2020,2.331508276,7645193,214.54
2/12/2020,2.327481541,7537366,212.56
1/12/2020,2.335538132,10103481,216.54
30/11/2020,2.330657235,12976149,214.12
27/11/2020,2.325084439,5363151,211.39
25/11/2020,2.331346302,13817473,214.46
24/11/2020,2.31386722,14662346,206
23/11/2020,2.302806963,12019989,200.82
20/11/2020,2.284814097,11518655,192.67
19/11/2020,2.280805928,9391530,190.9
18/11/2020,2.279027806,8095357,190.12
17/11/2020,2.283979284,6448805,192.3
16/11/2020,2.28316549,10127757,191.94
13/11/2020,2.275587741,6020699,188.62
12/11/2020,2.276691529,7103620,189.1
11/11/2020,2.284069612,9151685,192.34
10/11/2020,2.2633046,13144319,183.36
9/11/2020,2.26651392,18986391,184.72
6/11/2020,2.30691802,8075064,202.73
5/11/2020,2.310820715,15188527,204.56
4/11/2020,2.288450448,16106952,194.29
3/11/2020,2.254813841,31655971,179.81
2/11/2020,2.273603077,14386024,187.76
30/10/2020,2.269816377,12041236,186.13
29/10/2020,2.290123688,7627102,195.04
28/10/2020,2.284001868,8050042,192.31
27/10/2020,2.301962726,4754359,200.43
26/10/2020,2.294950954,7715998,197.22
23/10/2020,2.307581605,6644745,203.04
22/10/2020,2.309481119,12398290,203.93
21/10/2020,2.328522306,17247188,213.07
20/10/2020,2.305265362,4867725,201.96
19/10/2020,2.301160264,6566682,200.06
16/10/2020,2.310587115,9663990,204.45
15/10/2020,2.307795448,7630531,203.14
14/10/2020,2.308777774,8591824,203.6
13/10/2020,2.317520127,8145300,207.74
12/10/2020,2.304296603,10603246,201.51
9/10/2020,2.295061045,7082372,197.27
8/10/2020,2.285692302,5582626,193.06
7/10/2020,2.289165153,4228748,194.61
6/10/2020,2.282531484,5921767,191.66
5/10/2020,2.294135419,5024054,196.85
2/10/2020,2.283097605,6546430,191.91
1/10/2020,2.294333934,7268872,196.94
30/9/2020,2.294532357,7939637,197.03
29/9/2020,2.288919606,6766102,194.5
28/9/2020,2.283346465,7590637,192.02
25/9/2020,2.272421826,7606454,187.25
24/9/2020,2.260524536,7374516,182.19
23/9/2020,2.259139758,6782378,181.61
22/9/2020,2.273649335,8939288,187.78
21/9/2020,2.262949175,13765625,183.21
18/9/2020,2.245685364,13557242,176.07
17/9/2020,2.244994166,11840100,175.79
16/9/2020,2.257462574,8174799,180.91
15/9/2020,2.26955964,7763369,186.02
14/9/2020,2.271748699,7053058,186.96
11/9/2020,2.264817823,8110351,184
10/9/2020,2.278959271,6580655,190.09
9/9/2020,2.289142836,8541960,194.6
8/9/2020,2.269396183,9282378,185.95
4/9/2020,2.282939166,17034108,191.84
3/9/2020,2.311732675,16006894,204.99
2/9/2020,2.323911809,7219494,210.82
1/9/2020,2.320000804,6237911,208.93
31/8/2020,2.30992811,5628727,204.14
28/8/2020,2.310650836,4581319,204.48
27/8/2020,2.310353389,6051898,204.34
26/8/2020,2.308521729,6072171,203.48
25/8/2020,2.304641298,5108202,201.67
24/8/2020,2.298591111,5404075,198.88
21/8/2020,2.294003026,6092535,196.79
20/8/2020,2.297059824,6772962,198.18
19/8/2020,2.284295348,6865340,192.44
18/8/2020,2.289075879,5362472,194.57
17/8/2020,2.292898175,6198365,196.29
14/8/2020,2.282078055,4847965,191.46
13/8/2020,2.285714797,10082355,193.07
12/8/2020,2.281760372,7939997,191.32
11/8/2020,2.276530734,9155292,189.03
10/8/2020,2.286276786,8792199,193.32
7/8/2020,2.298044843,6525299,198.63
6/8/2020,2.309821726,5821425,204.09
5/8/2020,2.307303451,7573326,202.91
4/8/2020,2.295193116,5771585,197.33
3/8/2020,2.294620517,7961646,197.07
31/7/2020,2.292411149,10865370,196.07
30/7/2020,2.284453294,16803593,192.51
29/7/2020,2.266231697,15436643,184.6
28/7/2020,2.246178405,6125669,176.27
27/7/2020,2.250371202,6868784,177.98
24/7/2020,2.236940132,6256092,172.56
23/7/2020,2.240199675,6999615,173.86
22/7/2020,2.251443535,4669007,178.42
21/7/2020,2.244475045,5612366,175.58
20/7/2020,2.252416091,5996828,178.82
17/7/2020,2.240349527,7373955,173.92
16/7/2020,2.229963262,6630594,169.81
15/7/2020,2.235679919,6698988,172.06
14/7/2020,2.236285277,10624537,172.3
13/7/2020,2.234289447,10234780,171.51
10/7/2020,2.25139485,7583168,178.4
9/7/2020,2.262996582,6340005,183.23
8/7/2020,2.259044094,7234385,181.57
7/7/2020,2.248659743,5529463,177.28
6/7/2020,2.245956606,8360157,176.18
2/7/2020,2.248488226,5944556,177.21
1/7/2020,2.249027053,6871374,177.43
30/6/2020,2.241122937,6831902,174.23
29/6/2020,2.226213121,5423702,168.35
26/6/2020,2.232665819,8158658,170.87
25/6/2020,2.236789099,6650737,172.5
24/6/2020,2.225309282,8931751,168
23/6/2020,2.237518605,7693874,172.79
22/6/2020,2.231112629,7793821,170.26
19/6/2020,2.215796133,11332668,164.36
18/6/2020,2.225438517,8583734,168.05
17/6/2020,2.214393431,5582620,163.83
16/6/2020,2.207418917,6539467,161.22
15/6/2020,2.197418408,5117394,157.55
12/6/2020,2.191059582,7038068,155.26
11/6/2020,2.184804957,9041718,153.04
10/6/2020,2.203875623,5881831,159.91
9/6/2020,2.195512211,7265620,156.86
8/6/2020,2.193375081,5494431,156.09
5/6/2020,2.193124598,8446143,156
4/6/2020,2.18920949,7554487,154.6
3/6/2020,2.19529066,6732830,156.78
2/6/2020,2.197252983,6344432,157.49
1/6/2020,2.189012805,5658288,154.53
29/5/2020,2.190359716,10156091,155.01
28/5/2020,2.172573744,10050679,148.79
27/5/2020,2.164233855,9554775,145.96
26/5/2020,2.167317335,10267534,147
22/5/2020,2.178574103,5724145,150.86
21/5/2020,2.170906809,5578930,148.22
20/5/2020,2.178804346,7811268,150.94
19/5/2020,2.162534537,7779063,145.39
18/5/2020,2.165066178,8580542,146.24
15/5/2020,2.162892841,8361165,145.51
14/5/2020,2.159597268,9272877,144.41
13/5/2020,2.157547426,11142641,143.73
12/5/2020,2.149311506,9757599,141.03
11/5/2020,2.158241838,10273368,143.96
8/5/2020,2.16124818,13169422,144.96
7/5/2020,2.16521464,35487924,146.29
6/5/2020,2.108260505,14031243,128.31
5/5/2020,2.098401422,9241882,125.43
4/5/2020,2.092229242,7674351,123.66
1/5/2020,2.081383317,5613832,120.61
30/4/2020,2.089905111,7569776,123
29/4/2020,2.091948191,9891526,123.58
28/4/2020,2.064981822,9192284,116.14
27/4/2020,2.081095157,6678219,120.53
24/4/2020,2.0798322,10680406,120.18
23/4/2020,2.06160325,7563183,115.24
22/4/2020,2.061414778,12879850,115.19
21/4/2020,2.031570032,11736608,107.54
20/4/2020,2.04987672,10730723,112.17
17/4/2020,2.048635988,11069777,111.85
16/4/2020,2.034668556,9575624,108.31
15/4/2020,2.033222647,7821377,107.95
14/4/2020,2.040543006,8417858,109.785
13/4/2020,2.025223915,7716160,105.98
9/4/2020,2.024649831,10894921,105.84
8/4/2020,2.021437396,9385890,105.06
7/4/2020,2.001214325,10291513,100.28
6/4/2020,2.007192824,11998987,101.67
3/4/2020,1.965624967,7699462,92.39
2/4/2020,1.970904498,7077181,93.52
1/4/2020,1.960851154,9628376,91.38
31/3/2020,1.981093423,9882034,95.74
30/3/2020,1.986906031,8948597,97.03
27/3/2020,1.970718704,11311959,93.48
26/3/2020,2.002727473,9452863,100.63
25/3/2020,1.980957316,11814366,95.71
24/3/2020,1.988068203,13936472,97.29
23/3/2020,1.930745328,12969720,85.26
20/3/2020,1.937918903,14874413,86.68
19/3/2020,1.971693239,12181578,93.69
18/3/2020,1.961231197,16060056,91.46
17/3/2020,1.990649588,17969391,97.87
16/3/2020,1.967173423,16204938,92.72
13/3/2020,2.041984501,19170559,110.15
12/3/2020,1.986592607,20114391,96.96
11/3/2020,2.016615548,10761017,103.9
10/3/2020,2.040364956,11748492,109.74
9/3/2020,2.007021926,12458891,101.63
6/3/2020,2.044892383,8524269,110.89
5/3/2020,2.049915436,7671457,112.18
4/3/2020,2.061829307,8245198,115.3
3/3/2020,2.040444098,11912275,109.76
2/3/2020,2.052540046,13366965,112.86
28/2/2020,2.033383541,17215994,107.99
27/2/2020,2.032779879,15461904,107.84
26/2/2020,2.037864556,10306927,109.11
25/2/2020,2.040048242,13636134,109.66
24/2/2020,2.066102197,10139308,116.44
21/2/2020,2.077331561,5896230,119.49
20/2/2020,2.087887849,7212911,122.43
19/2/2020,2.093106357,4878649,123.91
18/2/2020,2.087319912,5085799,122.27
14/2/2020,2.089869802,5769897,122.99
13/2/2020,2.081023086,6066472,120.51
12/2/2020,2.073938191,6482283,118.56
11/2/2020,2.074962643,4677447,118.84
10/2/2020,2.079398339,4868408,120.06
7/2/2020,2.075108796,4166262,118.88
6/2/2020,2.07878296,4020286,119.89
5/2/2020,2.078166708,7595345,119.72
4/2/2020,2.079470679,7396789,120.08
3/2/2020,2.066363202,8236584,116.51
31/1/2020,2.056485593,9467156,113.89
30/1/2020,2.068631064,13653347,117.12
29/1/2020,2.066921972,9255661,116.66
28/1/2020,2.066400476,6432992,116.52
27/1/2020,2.06160325,7002260,115.24
24/1/2020,2.068111617,7123969,116.98
23/1/2020,2.071476968,8533941,117.89
22/1/2020,2.062581984,5305308,115.5
21/1/2020,2.065019214,8509645,116.15
17/1/2020,2.06460772,9730424,116.04
16/1/2020,2.062205809,4793197,115.4
15/1/2020,2.060131,5955223,114.85
14/1/2020,2.059336177,7182707,114.64
13/1/2020,2.061753968,9069390,115.28
10/1/2020,2.052809328,6965689,112.93
9/1/2020,2.051422666,5950181,112.57
8/1/2020,2.048519488,8295189,111.82
7/1/2020,2.040087843,6916836,109.67
6/1/2020,2.042063349,6766627,110.17
3/1/2020,2.036469199,7099931,108.76
2/1/2020,2.044343735,7419283,110.75
