date,Price,Volume
2020-12-31,3.16,3325.0
2020-12-30,3.21,5109.0
2020-12-29,3.2,3406.0
2020-12-28,3.25,55869.0
2020-12-24,3.25,12276.0
2020-12-23,3.2,29994.0
2020-12-22,3.15,17176.0
2020-12-21,3.23,7540.0
2020-12-18,3.35,18500.0
2020-12-17,3.35,5897.0
2020-12-16,3.31,11424.0
2020-12-15,3.33,10193.0
2020-12-14,3.315,24867.0
2020-12-11,3.33,8261.0
2020-12-10,3.29,24066.0
2020-12-09,3.27,14940.0
2020-12-08,3.34,15414.0
2020-12-07,3.36,40994.0
2020-12-04,3.34,8365.0
2020-12-03,3.32,22529.0
2020-12-02,3.31,25080.0
2020-12-01,3.3,19274.0
2020-11-30,3.35,37252.0
2020-11-27,3.41,25543.0
2020-11-25,3.45,55312.0
2020-11-24,3.37,50103.0
2020-11-23,3.06,21056.0
2020-11-20,3.03,4294.0
2020-11-19,3.09,35594.0
2020-11-18,3.085,14275.0
2020-11-17,3.04,44503.0
2020-11-16,2.95,9810.0
2020-11-13,2.88,13689.0
2020-11-12,2.912,10853.0
2020-11-11,2.96,12035.0
2020-11-10,2.86,11266.0
2020-11-09,2.82,97304.0
2020-11-06,2.62,1004.0
2020-11-05,2.63,5355.0
2020-11-04,2.6,455.0
2020-11-03,2.51,12231.0
2020-11-02,2.49,13031.0
2020-10-30,2.48,4310.0
2020-10-29,2.54,3097.0
2020-10-28,2.545,16445.0
2020-10-27,2.635,2067.0
2020-10-26,2.65,5022.0
2020-10-23,2.64,1540.0
2020-10-22,2.631,2552.0
2020-10-21,2.62,12739.0
2020-10-20,2.55,16256.0
2020-10-19,2.57,12947.0
2020-10-16,2.53,35356.0
2020-10-15,2.55,125407.0
2020-10-14,2.58,2370.0
2020-10-13,2.61,4900.0
2020-10-12,2.61,2428.0
2020-10-09,2.6,1202.0
2020-10-08,2.63,4990.0
2020-10-07,2.62,11231.0
2020-10-06,2.6,5742.0
2020-10-05,2.58,2404.0
2020-10-02,2.53,3828.0
2020-10-01,2.52,52607.0
2020-09-30,2.53,10495.0
2020-09-29,2.485,435.0
2020-09-28,2.49,2856.0
2020-09-25,2.455,2348.0
2020-09-24,2.455,5427.0
2020-09-23,2.48,3092.0
2020-09-22,2.48,60563.0
2020-09-21,2.51,14047.0
2020-09-18,2.58,12037.0
2020-09-17,2.63,1129.0
2020-09-16,2.61,3517.0
2020-09-15,2.6033,7371.0
2020-09-14,2.58,3685.0
2020-09-11,2.585,4189.0
2020-09-10,2.64,6447.0
2020-09-09,2.62,1791.0
2020-09-08,2.63,14659.0
2020-09-04,2.65,4251.0
2020-09-03,2.68,67512.0
2020-09-02,2.62,11810.0
2020-09-01,2.64,26055.0
2020-08-31,2.71,3121.0
2020-08-28,2.705,4900.0
2020-08-27,2.665,24440.0
2020-08-26,2.72,18071.0
2020-08-25,2.78,3788.0
2020-08-24,2.66,17114.0
2020-08-21,2.64,11717.0
2020-08-20,2.675,1920.0
2020-08-19,2.665,2708.0
2020-08-18,2.725,2084.0
2020-08-17,2.74,36800.0
2020-08-14,2.78,10470.0
2020-08-13,2.71,4206.0
2020-08-12,2.705,5674.0
2020-08-11,2.625,19609.0
2020-08-10,2.59,12995.0
2020-08-07,2.535,4469.0
2020-08-06,2.58,15527.0
2020-08-05,2.59,7230.0
2020-08-04,2.47,27024.0
2020-08-03,2.425,10316.0
2020-07-31,2.535,18695.0
2020-07-30,2.5299,53224.0
2020-07-29,2.614,26587.0
2020-07-28,2.62,6502.0
2020-07-27,2.62,2075.0
2020-07-24,2.65,18842.0
2020-07-23,2.62,19213.0
2020-07-22,2.65,5922.0
2020-07-21,2.68,6271.0
2020-07-20,2.63,7685.0
2020-07-17,2.66,4700.0
2020-07-16,2.71,13100.0
2020-07-15,2.76,9700.0
2020-07-14,2.73,16500.0
2020-07-13,2.73,9800.0
2020-07-10,2.74,1700.0
2020-07-09,2.73,17000.0
2020-07-08,2.78,2400.0
2020-07-07,2.75,22600.0
2020-07-06,2.86,84200.0
2020-07-02,2.75,12700.0
2020-07-01,2.71,23600.0
2020-06-30,2.68,15800.0
2020-06-29,2.7,3407.0
2020-06-26,2.71,35586.0
2020-06-25,2.78,15199.0
2020-06-24,2.83,17050.0
2020-06-23,2.9,7836.0
2020-06-22,2.93,17715.0
2020-06-19,2.88,50692.0
2020-06-18,2.91,62408.0
2020-06-17,2.99,43649.0
2020-06-16,2.99,33362.0
2020-06-15,2.95,310516.0
2020-06-12,3.105,61922.0
2020-06-11,2.96,112552.0
2020-06-10,3.15,198524.0
2020-06-09,3.1799,383714.0
2020-06-08,3.69,227623.0
2020-06-05,3.42,201313.0
2020-06-04,3.33,56336.0
2020-06-03,3.15,93857.0
2020-06-02,3.03,93336.0
2020-06-01,2.8,152380.0
2020-05-29,2.74,15739.0
2020-05-28,2.768,45828.0
2020-05-27,2.72,46615.0
2020-05-26,2.7,56917.0
2020-05-22,2.65,82620.0
2020-05-21,2.6,20135.0
2020-05-20,2.65,71344.0
2020-05-19,2.66,23531.0
2020-05-18,2.79,71652.0
2020-05-15,2.88,21581.0
2020-05-14,2.77,13924.0
2020-05-13,3.14,62556.0
2020-05-12,3.05,16589.0
2020-05-11,3.3,16942.0
2020-05-08,3.22,43881.0
2020-05-07,3.31,16639.0
2020-05-06,3.45,129575.0
2020-05-05,4.23,35280.0
2020-05-04,4.295,13510.0
2020-05-01,4.282,12225.0
2020-04-30,4.35,4233.0
2020-04-29,4.385,1954.0
2020-04-28,4.31,520.0
2020-04-27,4.22,11.0
2020-04-24,4.22,3163.0
2020-04-23,4.32,3550.0
2020-04-22,4.21,0.0
2020-04-21,4.2055,6638.0
2020-04-20,4.43,4016.0
2020-04-17,4.335,3071.0
2020-04-16,4.33,266.0
2020-04-15,4.29,1800.0
2020-04-14,4.48,4200.0
2020-04-13,4.33,8452.0
2020-04-09,4.3725,9585.0
2020-04-08,4.2,2579.0
2020-04-07,4.22,4434.0
2020-04-06,4.055,4940.0
2020-04-03,3.86,2277.0
2020-04-02,3.97,1902.0
2020-04-01,3.85,29550.0
2020-03-31,4.09,4438.0
2020-03-30,4.205,4049.0
2020-03-27,4.28,10333.0
2020-03-26,4.905,23500.0
2020-03-25,4.7,368.0
2020-03-24,4.3,2295.0
2020-03-23,3.75,7282.0
2020-03-20,4.135,8695.0
2020-03-19,4.49,12100.0
2020-03-18,4.521,1435.0
2020-03-17,4.7,2362.0
2020-03-16,4.72,23666.0
2020-03-13,5.08,33852.0
2020-03-12,5.24,14558.0
2020-03-11,5.32,13000.0
2020-03-10,5.82,92075.0
2020-03-09,5.13,7071.0
2020-03-06,5.7,55.0
2020-03-05,5.7,17367.0
2020-03-04,5.8,4800.0
2020-03-03,5.71,12356.0
2020-03-02,5.76,3010.0
2020-02-28,5.82,1000.0
2020-02-27,5.89,14800.0
2020-02-26,5.91,16200.0
2020-02-25,6.02,8300.0
2020-02-24,6.07,520.0
2020-02-21,6.13,5183.0
2020-02-20,6.13,22440.0
2020-02-19,6.175,100.0
2020-02-18,6.27,108.0
2020-02-14,6.25,110.0
2020-02-13,6.21,503.0
2020-02-12,6.21,0.0
2020-02-11,6.21,5033.0
2020-02-10,6.21,0.0
2020-02-07,6.208,17000.0
2020-02-06,6.21,0.0
2020-02-05,6.208,1000.0
2020-02-04,6.19,0.0
2020-02-03,6.1885,887.0
2020-01-31,6.11,9000.0
2020-01-30,6.265,2130.0
2020-01-29,6.45,6323.0
2020-01-28,6.0,1868.0
2020-01-27,6.53,1200.0
2020-01-24,6.59,0.0
2020-01-23,6.59,100.0
2020-01-22,6.637,2.0
2020-01-21,6.637,12.0
2020-01-17,6.72,0.0
2020-01-16,6.72,0.0
2020-01-15,6.637,300.0
2020-01-14,6.72,0.0
2020-01-13,6.72,0.0
2020-01-10,6.72,0.0
2020-01-09,6.72,0.0
2020-01-08,6.72,0.0
2020-01-07,6.72,0.0
2020-01-06,6.637,1103.0
2020-01-03,6.72,0.0
2020-01-02,6.715,373.0
